seq,title,genre,text,reviewer,rate,like,comment
33,이터널스,2021 ? 판타지/액션/모험 ? 미국,"이카리스는 슈퍼맨같고, 세르시는 원더우먼같다. 마블 영화인데도 DC느낌이 가득한. 히어로물이라기 보다는 태초부터 지금까지 인류의 역사를 보여주는 듯한 스토리와, 다큐멘터리 급의 풍광. 우리가 잘 알던 마블영화의 오락성을 기대한다면 실망이 클 것. 액션씬도 생각보다 별로 없음. 그리고 지들끼리 계속 싸우고 있어서 답답해죽는줄.
그래도 10명의 새인물이 등장한건데 잘 소개했고 다 기억에 남는 것 보면 나름 분량 배분을 잘 한 것 같다. 하지만 캐릭터들이 각각의 특징은 있지만 어벤져스처럼 하나하나 개성 넘치진 않는다. 2편에 대한 기대는 별로 안된다.
*
개인적으로 '난 신같은 능력이 있어, 난 힘이 개쎄, 우린 타고난 존재야.' 라는 류를 별로 안 좋아해서인지 보면서 그냥 그랬다. 그래서 제일 안 좋아하는게 슈퍼맨인데, 여기서 슈퍼맨을 보는 듯한 기분이 약간 느껴졌다... 새로운 시도라기엔 내가 마블영화를 좋아하는 이유들을 다 갖다버린 영화같아서 아쉬웠다.",Movie is my Life,2.5,68,6
34,이터널스,2021 ? 판타지/액션/모험 ? 미국,"꽤나 알찬 마블 시네마틱
유니버스 속 역사공부.
강사가 강의를 귀에 쏙쏙 박히게
너무 잘하는구만.
-
MCU의 기원과 현재 그리고 미래까지 다루면서 서사는 옹골지며 인물들이 어벤져스급으로 대거 등장함에도 불구하고 그들을 표현하는 방법은 단순히 평면적이거나 작위적이지 않고 입체적이고 풍부하다. 마블 입장에서는 실험적인 시도를 하면서 굉장히 도박이었을텐데 개인적으로는 MCU 베스트 5안에 든다. 그 시도는 제대로 먹혔다.",뚱이에요,4.5,67,3
35,이터널스,2021 ? 판타지/액션/모험 ? 미국,아 추워.,이건영(everyhuman),2.5,64,0
36,이터널스,2021 ? 판타지/액션/모험 ? 미국,"마치 드라마물이랑 히어로물을 합친것같은 느낌의 새로운 mcu

상당히 많은 히어로가 등장하기 때문에, 자칫 인물이 누가 누구인지 제대로 알기 어려운 문제가 발생할 수 있을텐데,

순차적으로 등장시키는 방식으로 관객들에게 천천히 그들의 이름과 능력을 각인시켰던게 좋은 포인트

더군다나 촬영미도 콘택트를 떠올리게 만든다

개인적으로 썩토급은 아닌것같지만 확실히 호불호가 갈리는건 부정할수가 없는 영화

히어로물이 아닌 마치 신화를 모티브로 한것같은 새로운 영화를 보는 느낌

기존의 mcu 히어로물을 기대했던 사람들에게는 엄청 실망스럽게 지루한 영화가 될 수도 있고

나같이 드라마물이나 신화같은걸 좋아하는 사람들에게는 나쁘지 않은 영화가 될 듯",그라시아스,3,60,0
37,이터널스,2021 ? 판타지/액션/모험 ? 미국,"뭣이 중헌지 제대로 파악 못한듯

서사는 충실한데
그밖의 것들이 빈약하고

느린 템포인 데다가
지나치게 정박자

하지만 샹치보단 건더기가 더 들어간 맛",JY,2.5,59,0
38,이터널스,2021 ? 판타지/액션/모험 ? 미국,"과거 어벤져스는 시리즈의 첫 작품인 아이언맨부터 시작해서 엔드게임까지 복잡한 세계관을 하나씩 쌓아올려서 이해와 공감이 어우러져 성공했다면, 이번 작품은 시작부터 투 머치 했다. 등장하는 인물들이 많은 만큼 서사 자체가 방대할 텐데, 이를 매우 집약해서 구겨 넣다 보니 집중이 잘 되지 않는다. 또한 어벤져스를 이루었던 각기 캐릭터들은 개성과 매력이 확실하게 각인이 되었다면, 이번 작품에 등장하는 캐릭터들은 대체로 색감이 옅은 편이며, 마음을 주고 싶을 정도로 매력적인 인물조차 없다. 마블의 새로운 시작점에 놓인 영화라지만, ""마블"" 이라는 타이틀이 붙었음에도 기대만큼 흥미롭지도, 즐겁지도 않다.",Lemonia,2.5,59,2
39,이터널스,2021 ? 판타지/액션/모험 ? 미국,"캐릭터 설정은 꽤 잘 잡았으나 스토리 전개가 영 신통치 못하다. 클로이 자오의 연출이 블록버스터와 잘 어울리지 못하고 덜그럭거린다. 나름 새로운 시도나 모험을 하고자 하는 건 잘 알겠는데 이런 영화에는 오락성이 젤 중요하지 않나요?
.
.
.
+) 리차드 매든, 안젤리나 졸리 존잘존예.
++) 킬링 디어 때문에 배리 키오건만 나오면 이상하게 긴장되더라.",라임에이드,2.5,58,3
40,이터널스,2021 ? 판타지/액션/모험 ? 미국,"인간의 가장 큰 의무는 가족을 지키는 것이다.
-
인류의 가장 오래된 적인 데비안츠에 힘을 합쳐 맞섰던 불멸의 존재들인 이터널스에 대한 이야기를 다룬다. 이터널스들은 기원전 5000년 메소포타미아에 처음 나타나 인간들의 곁에서 그들을 보살펴 왔으며, 인류의 성장을 지켜보며 그들이 발전하는 모습을 조망해 온 존재들이었다. 시간은 흘러 현재의 런던, 이터널스 중 물질을 변화시키는 능력을 가진 세르시는 몇 세기 전에 전멸시킨 줄 알았던 데비안츠를 다시 맞닥뜨리게 된다.

영화가 다루는 존재들의 역사나 등장하는 사건의 규모를 보게 되면 이 영화가 이후 페이즈에 미칠 영향력이 매우 큰 영화가 될 것 같다. 등장하는 히어로 또한 매우 많은데, 적절하게 분량도 배분하고 개인적인 이야기들을 영화에 각각 풀어낸 점이 훌륭하다. 그 이야기들을 지켜보면서 인상 깊은 것은 이터널스들이 인간들을 보살펴온 와중에 저마다 인간적인 사고와 마음을 가지게 되었으며, 그래서 이 히어로들의 속내에는 다분히 인간적인 사랑이 생겨났다는 것으로 귀결되는 흐름을 영화 속에 자연스럽게 녹여낸 점이다.

하지만 이러한 멋진 드라마 속에서도 인물들이 내리는 선택에 대한 이유를 좀 더 깊게 다루지 못한 점은 아쉽다. 사건의 내막을 알게 된 후 이터널스들이 내리는 선택은 분명 그 이유가 이해는 되더라도, 그런 선택을 내리기까지의 과정을 좀 더 크고 작은 사건들을 나열하면서 점진적으로 쌓아갔어야 했다는 생각이 든다. 또한 그러한 선택을 왜 나머지 이터널스들이 따르는지도 더 확실하게 설득력을 부여할 수 있지 않았을까 싶다.

한편 그간 MCU 영화들에 자연스럽게 기대할 수 있었던 박력 넘치는 액션은 부족한 영화라고 생각된다. 이러한 액션적인 아쉬움은 위에 말한 히어로들의 드라마와, 거대한 규모 속에서 멋진 영상미로 담아내는 특수 효과 연출들로 채워 넣었다고 생각된다. 여기서 감독의 역량이 드러난다고 생각되는데, 클로이 자오 감독은 &lt;노매드랜드&gt;에서도 그랬듯이 이 영화에서도 역광 장면을 아주 멋들어지게 연출해 내면서 히어로들의 깊은 고민을 우울한 분위기로 훌륭하게 시각화해냈다고 생각되며, 덕분에 영상미는 유니버스 역대 최고 수준이다.

셀레스티얼의 모습이라든지 인류의 역사를 줄줄이 함께 한 이터널스의 세계관 등 이 영화를 구성하는 소재들의 규모를 봤을 때, MCU에서 벌어질 차후 사건들은 이전에 벌어졌던 타노스 중심의 인피니티 워의 규모를 우습게 뛰어넘을 것으로 보인다. 개인적으로는 이 영화가 보여준 것이 그 시작을 알리기에 훌륭하다고 생각된다.",수진,3.5,57,0
41,이터널스,2021 ? 판타지/액션/모험 ? 미국,장르적 재미와 예술적 연출사이에서 뚜렷하게 느껴지는 묘한 이질감. (그 와중에 마블가서도 여전한 마블리의 파워맴매),김병우,3,54,0
42,이터널스,2021 ? 판타지/액션/모험 ? 미국,"♤ 이 터널 또한 통과하리...

♤ 마블 세계관의 확장과 성장통이 느껴진다.

♤ 셀레스티얼 입장에선 이터널스=후레자식들",5jp,3.5,52,0
